name,or_tools_cost
XML1000_1376_26,4283341.0
XML1000_1111_11,
XML1000_1324_06,
XML1000_2266_17,4021890.0
XML1000_2153_14,
XML1000_2334_23,
XML1000_3152_23,
XML1000_3335_14,9506457.0
XML1000_3232_09,
XML1000_1224_12,
XML1000_1116_18,5992852.0
XML1000_2366_03,5215482.0
XML1000_1224_06,
XML1000_2366_17,5788703.0
XML1000_1276_26,6686929.0
XML1000_1143_25,
XML1000_1324_12,
XML1000_3332_09,
XML1000_2266_03,3661835.0
XML1000_2154_09,
XML1000_2234_23,
XML1000_1111_05,
XML1000_3235_14,
XML1000_1271_07,
XML1000_3332_21,
XML1000_3155_16,10147227.0
XML1000_2333_16,
XML1000_2154_21,
XML1000_1223_27,
XML1000_1116_24,5407463.0
XML1000_1371_13,
XML1000_2233_02,
XML1000_2261_22,
XML1000_1144_04,
XML1000_1323_27,
XML1000_1144_10,
XML1000_1371_07,
XML1000_3232_21,
XML1000_2233_16,
XML1000_2361_22,
XML1000_1271_13,
XML1000_1143_19,
XML1000_3155_02,
XML1000_2333_02,
XML1000_3313_10,
XML1000_2175_10,6441738.0
XML1000_3126_07,8055633.0
XML1000_3213_04,
XML1000_2172_19,
XML1000_3314_19,
XML1000_3241_24,
XML1000_1165_21,
XML1000_3213_10,
XML1000_2212_27,
XML1000_3214_19,
XML1000_3341_24,
XML1000_3126_13,6714682.0
XML1000_3313_04,
XML1000_2175_04,6757843.0
XML1000_2215_06,
XML1000_3246_11,8180162.0
XML1000_2315_12,5925318.0
XML1000_2172_25,
XML1000_3241_18,
XML1000_1165_09,
XML1000_3314_25,
XML1000_3173_12,
XML1000_3346_05,6520633.0
XML1000_3121_26,
XML1000_3346_11,6652361.0
XML1000_2315_06,5791174.0
XML1000_3173_06,
XML1000_1162_14,
XML1000_3246_05,7496778.0
XML1000_2215_12,5037459.0
XML1000_3341_18,
XML1000_3214_25,
XML1000_2376_12,4320381.0
XML1000_2111_25,
XML1000_3222_18,
XML1000_1234_03,
XML1000_3325_05,10141469.0
XML1000_1266_23,4930807.0
XML1000_2143_05,
XML1000_2276_06,3161718.0
XML1000_1153_20,
XML1000_1334_17,
XML1000_3225_11,10319902.0
XML1000_2224_26,
XML1000_3225_05,
XML1000_1366_23,5289484.0
XML1000_2144_18,
XML1000_2276_12,4492446.0
XML1000_1334_03,
XML1000_3322_18,
XML1000_3142_26,
XML1000_3325_11,9121525.0
XML1000_2143_11,
XML1000_2324_26,
XML1000_2376_06,4051310.0
XML1000_1234_17,
XML1000_1333_22,
XML1000_1154_15,
XML1000_2111_19,
XML1000_2223_13,
XML1000_3222_24,
XML1000_1361_02,
XML1000_2116_10,5177322.0
XML1000_2323_07,
XML1000_3145_07,
XML1000_1261_16,
XML1000_2323_13,
XML1000_2144_24,
XML1000_1153_08,
XML1000_3322_24,
XML1000_3145_13,10149117.0
XML1000_1261_02,
XML1000_1233_22,
XML1000_2116_04,4342212.0
XML1000_2223_07,
XML1000_1361_16,
XML1000_1154_01,
XML1000_1175_24,
XML1000_1312_13,
XML1000_2162_08,
XML1000_3351_21,
XML1000_3136_16,7523072.0
XML1000_1212_07,
XML1000_2165_01,
XML1000_2165_15,7534225.0
XML1000_3164_22,
XML1000_3136_02,7178214.0
XML1000_1212_13,
XML1000_3251_21,
XML1000_1312_07,
XML1000_3131_23,
XML1000_3356_14,7197660.0
XML1000_1175_18,
XML1000_3163_03,
XML1000_3251_09,
XML1000_1315_26,
XML1000_1172_11,
XML1000_3351_09,
XML1000_3256_14,4902243.0
XML1000_1172_05,
XML1000_3163_17,
XML1000_2162_20,
XML1000_1215_26,6610113.0
XML1000_2274_03,
XML1000_2146_09,5515409.0
XML1000_1336_12,5966036.0
XML1000_1151_25,
XML1000_2226_23,3966602.0
XML1000_2113_20,
XML1000_2374_17,
XML1000_1236_06,4659536.0
XML1000_3112_17,
XML1000_3375_20,
XML1000_1264_26,
XML1000_2326_23,4012495.0
XML1000_2141_14,
XML1000_2374_03,
XML1000_1236_12,6792778.0
XML1000_3112_03,
XML1000_1364_26,
XML1000_2274_17,
XML1000_1336_06,7070220.0
XML1000_3275_20,8214055.0
XML1000_3372_15,
XML1000_3115_22,8982292.0
XML1000_2373_22,
XML1000_2114_15,
XML1000_2321_02,
XML1000_1263_13,
XML1000_3275_08,8953403.0
XML1000_1151_19,
XML1000_1156_10,4777111.0
XML1000_1331_27,
XML1000_3272_01,
XML1000_2221_16,
XML1000_1363_07,
XML1000_2221_02,
XML1000_2113_08,
XML1000_3375_08,11378425.0
XML1000_1363_13,
XML1000_1156_04,5231036.0
XML1000_3272_15,
XML1000_2273_22,
XML1000_2146_21,5879972.0
XML1000_2321_16,
XML1000_1263_07,
XML1000_1231_27,
XML1000_3372_01,
XML1000_2114_01,
XML1000_3134_13,
XML1000_3353_24,
XML1000_1122_08,
XML1000_2135_24,5784348.0
XML1000_2352_13,
XML1000_1242_22,
XML1000_2252_07,
XML1000_1125_01,6937315.0
XML1000_1125_15,
XML1000_1342_22,
XML1000_3253_24,
XML1000_2252_13,
XML1000_3134_07,
XML1000_2352_07,
XML1000_3254_05,
XML1000_3353_18,
XML1000_1345_03,9305235.0
XML1000_2135_18,5629964.0
XML1000_2355_26,5940991.0
XML1000_2132_11,
XML1000_3354_11,
XML1000_3133_26,
XML1000_1245_17,
XML1000_3161_06,
XML1000_1245_03,8040341.0
XML1000_3253_18,
XML1000_3161_12,
XML1000_2132_05,
XML1000_3354_05,
XML1000_1345_17,
XML1000_1122_20,
XML1000_2255_26,4874403.0
XML1000_3254_11,
XML1000_2336_26,4935293.0
XML1000_2151_11,
XML1000_1226_17,3904366.0
XML1000_2364_06,
XML1000_1113_14,
XML1000_1374_23,
XML1000_3265_25,
XML1000_1326_03,4743349.0
XML1000_2156_18,4187526.0
XML1000_2264_12,
XML1000_1326_17,5612415.0
XML1000_1141_20,
XML1000_2264_06,
XML1000_2236_26,3486762.0
XML1000_3365_25,
XML1000_1114_09,
XML1000_1226_03,3905193.0
XML1000_2364_12,
XML1000_2151_05,
XML1000_1274_23,
XML1000_1373_16,
XML1000_1114_21,
XML1000_2231_07,
XML1000_3262_10,
XML1000_1146_01,7045557.0
XML1000_1141_08,
XML1000_1273_02,
XML1000_3265_19,
XML1000_2156_24,5435275.0
XML1000_2331_13,
XML1000_3362_04,
XML1000_1221_22,
XML1000_3362_10,
XML1000_1273_16,
XML1000_2331_07,
XML1000_3262_04,
XML1000_1146_15,5955462.0
XML1000_1321_22,
XML1000_3365_19,
XML1000_1373_02,
XML1000_2231_13,
XML1000_3211_01,
XML1000_1135_10,5955591.0
XML1000_1352_27,
XML1000_2242_16,
XML1000_3243_21,
XML1000_3311_15,
XML1000_3176_22,7543795.0
XML1000_2342_02,
XML1000_3124_02,
XML1000_1132_19,
XML1000_3216_08,4908165.0
XML1000_2125_21,
XML1000_2342_16,
XML1000_3124_16,
XML1000_3343_21,
XML1000_3311_01,
XML1000_1252_27,
XML1000_2242_02,
XML1000_3316_08,6232557.0
XML1000_3211_15,
XML1000_1135_04,6873792.0
XML1000_3171_17,
XML1000_3316_20,7023355.0
XML1000_1255_06,
XML1000_2125_09,7154992.0
XML1000_3343_09,
XML1000_1355_12,7847704.0
XML1000_1132_25,
XML1000_3244_14,
XML1000_2245_23,
XML1000_3216_20,5282933.0
XML1000_1355_06,
XML1000_3344_14,
XML1000_3123_23,
XML1000_2345_23,
XML1000_2122_14,
XML1000_3171_03,
XML1000_1255_12,
XML1000_3243_09,
XML1000_1355_07,6487837.0
XML1000_3216_21,3971494.0
XML1000_3244_01,
XML1000_3243_08,
XML1000_1255_13,6386236.0
XML1000_3171_02,
XML1000_2122_15,
XML1000_2345_22,6935346.0
XML1000_3123_22,
XML1000_3344_15,
XML1000_2122_01,
XML1000_3344_01,
XML1000_1255_07,
XML1000_3316_21,8442905.0
XML1000_3171_16,
XML1000_2245_22,6038243.0
XML1000_3244_15,
XML1000_1132_24,
XML1000_1355_13,
XML1000_3343_08,
XML1000_2125_08,6369698.0
XML1000_1252_26,
XML1000_3343_20,
XML1000_3124_17,
XML1000_2342_17,
XML1000_2125_20,5983922.0
XML1000_1135_05,
XML1000_3211_14,
XML1000_3316_09,6991102.0
XML1000_2242_03,
XML1000_3243_20,
XML1000_2242_17,
XML1000_1352_26,
XML1000_1135_11,
XML1000_3216_09,6601785.0
XML1000_1132_18,
XML1000_3124_03,
XML1000_2342_03,
XML1000_3176_23,6439458.0
XML1000_3311_14,
XML1000_2331_06,
XML1000_1273_17,
XML1000_3362_11,
XML1000_2363_26,
XML1000_2231_12,
XML1000_1373_03,
XML1000_3365_18,
XML1000_1321_23,
XML1000_1146_14,6129045.0
XML1000_3262_05,
XML1000_3262_11,
