name,opt_sol,or_tools_cost_1,or_tools_cost_30,or_tools_cost_60
XML100_2371_13,23026,23637,23430,23423
XML100_1146_20,10126,10890,10438,10438
XML100_2171_11,26076,26724,26567,26307
XML100_3256_17,7470,7948,7504,7504
XML100_2165_09,9304,9732,9557,9557
XML100_2351_07,19742,20824,20558,20558
XML100_1314_11,11874,12591,12148,12084
XML100_1235_10,5793,6071,5873,5873
XML100_1111_02,38316,38994,38802,38703
XML100_1313_07,16439,17456,16751,16751
XML100_2166_05,7956,8364,7973,7956
XML100_3335_10,10318,10927,10587,10587
XML100_1174_21,13335,14447,13561,13561
XML100_3255_15,13951,14607,14500,14178
XML100_3266_05,7875,8322,8263,8263
XML100_1236_02,6885,7419,6920,6915
XML100_1331_06,24810,25848,25290,25290
XML100_3114_12,19316,19928,19867,19867
XML100_1161_15,25441,27925,26038,25927
XML100_1235_22,9330,10097,9665,9342
XML100_1162_11,20080,21709,21248,21248
XML100_3264_16,7700,7869,7742,7742
XML100_1246_10,5781,6100,5828,5828
XML100_1254_27,9929,10921,10651,10651
XML100_1346_12,8083,8717,8239,8153
XML100_1113_08,19146,20282,19740,19628
XML100_2114_27,11463,12066,11717,11717
XML100_2316_04,8266,8800,8444,8435
XML100_3132_04,26068,27747,27310,26977
XML100_1276_15,7057,7400,7075,7073
XML100_1234_02,16573,17071,16827,16722
XML100_2371_11,21249,21718,21495,21469
XML100_1265_04,8886,9545,9021,8892
XML100_1375_13,10797,11860,11227,11046
XML100_1216_24,8720,8918,8812,8812
XML100_2166_14,8182,8248,8238,8238
XML100_1331_24,30371,31588,31216,31216
XML100_1111_03,26274,26611,26611,26611
XML100_2263_03,12613,13366,13061,12835
XML100_2143_20,13061,13649,13520,13514
XML100_2364_17,10021,11069,10280,10274
XML100_3312_03,32223,32878,32767,32767
XML100_1213_21,12609,12999,12733,12654
XML100_2172_19,19800,20794,20110,20003
XML100_2123_12,13030,13519,13224,13224
XML100_3176_14,10102,10264,10187,10147
XML100_3372_23,28425,30078,28472,28472
XML100_1326_23,7817,8472,7962,7951
XML100_3116_01,10494,11157,10808,10728
XML100_2234_21,8719,9307,8988,8988
XML100_3241_14,41129,42487,42094,42087
XML100_1261_18,34585,35855,35855,34943
XML100_1211_19,23750,24040,23947,23947
XML100_3254_12,15158,15687,15323,15268
XML100_1315_11,12260,12637,12571,12403
XML100_3352_05,28930,29880,29369,29369
XML100_1125_03,10390,11231,10635,10635
XML100_1175_26,12614,13463,12774,12774
XML100_3132_24,25137,26151,25748,25748
XML100_1226_26,7109,7369,7291,7191
XML100_1224_13,7975,8724,8422,8270
XML100_2212_26,18640,18787,18702,18702
XML100_2334_06,11097,11659,11312,11312
XML100_3274_03,13454,14150,13499,13499
XML100_3336_16,8452,8696,8461,8461
XML100_2375_08,9523,9789,9523,9523
XML100_1351_01,28961,30287,30125,29788
XML100_3154_22,16486,17773,17253,17177
XML100_3344_19,18024,18984,18654,18654
XML100_3242_03,16946,18096,17986,17919
XML100_2126_23,8710,8835,8764,8764
XML100_1362_20,17032,18192,17622,17536
XML100_2115_22,9766,10479,9966,9790
XML100_2276_12,6991,7112,7006,7006
XML100_2173_13,11445,12103,11835,11638
XML100_1113_11,15793,16783,16135,16135
XML100_1256_10,8218,8472,8271,8250
XML100_1172_21,20929,21504,21344,21344
XML100_2332_20,15733,16577,16183,16056
XML100_3172_03,28133,29398,28765,28687
XML100_2273_08,8825,9562,9102,9060
XML100_3376_08,9403,9598,9538,9495
XML100_2134_15,11476,12859,11891,11891
XML100_3245_11,12378,13236,12666,12666
XML100_2316_02,8386,8711,8596,8596
XML100_3355_05,13644,13995,13742,13742
XML100_3354_19,16295,17721,17166,17148
XML100_3334_04,17929,19400,18483,18400
XML100_1171_08,26060,26785,26398,26210
XML100_1113_10,15634,17053,16304,16220
XML100_1355_03,10259,11235,10551,10526
XML100_3176_22,9003,9082,9028,9028
XML100_1315_01,10408,10941,10876,10764
XML100_1145_06,11026,11502,11339,11339
XML100_3333_02,18870,19870,19155,19155
XML100_3342_03,28655,31081,30055,29918
XML100_3245_19,14592,15556,14643,14612
XML100_2142_02,16018,17643,16825,16486
XML100_1271_11,27319,27478,27395,27395
XML100_3363_01,18106,19477,19039,18835
XML100_1374_22,13196,13848,13249,13249
XML100_3244_06,14172,15234,14241,14241
XML100_3371_25,42336,43068,43047,43034
XML100_2162_26,14718,16899,15788,15152
XML100_2172_04,16952,18293,17485,17485
XML100_3231_09,56564,59019,58107,58107
XML100_1113_12,15397,16368,15819,15684
XML100_1336_24,8500,8974,8709,8689
XML100_1124_01,10813,11271,10916,10857
XML100_2363_12,13269,14198,13850,13358
XML100_2356_08,6907,7441,6907,6907
XML100_1273_04,14469,15565,14534,14511
XML100_2175_12,9852,10269,10096,10096
XML100_2156_19,8200,8441,8390,8375
XML100_3246_07,9239,10463,10094,10014
XML100_2345_03,9724,11649,10291,9946
XML100_3356_11,9546,9777,9643,9545
XML100_1273_09,20443,21739,21077,21047
XML100_1231_24,41277,43787,43681,42658
XML100_3213_09,19551,19921,19591,19591
XML100_3235_01,10497,11454,10785,10768
XML100_1273_25,12592,13345,13067,12735
XML100_2371_20,24724,25396,25021,25021
XML100_2316_21,8378,8496,8428,8408
XML100_3115_23,12816,13838,13253,13253
XML100_1345_20,10771,12353,10880,10841
XML100_1222_13,28569,29213,29030,29030
XML100_2142_27,15279,17144,15830,15689
XML100_2364_13,10143,10750,10385,10316
XML100_3126_23,11224,11976,11353,11353
XML100_1156_07,8284,9499,8428,8428
XML100_1332_11,22164,23334,23002,22928
XML100_3131_10,56494,59703,58879,58039
XML100_3352_25,30865,32318,32087,32087
XML100_1126_27,8813,8987,8974,8858
XML100_2311_23,30343,30704,30608,30490
XML100_2174_22,10817,12180,11176,10848
XML100_2325_14,8517,8702,8589,8589
XML100_2314_01,9547,9847,9551,9547
XML100_1265_23,8837,9333,8894,8878
XML100_1373_18,13499,14689,14101,14071
XML100_2344_19,10549,11090,10586,10586
XML100_3143_05,17988,19223,18655,18655
XML100_2115_24,9925,10542,9960,9953
XML100_3323_20,20962,22132,21450,21450
XML100_2236_04,6745,7162,7097,7048
XML100_1175_14,8893,9005,8904,8893
XML100_2264_15,6173,6810,6501,6415
XML100_3153_05,18949,19762,19443,19390
XML100_2224_22,7548,7973,7710,7613
XML100_3323_04,19300,21142,19780,19692
XML100_2232_03,10504,11255,10935,10747
XML100_3353_17,19424,20231,20094,20052
XML100_2315_24,9867,10143,9891,9869
XML100_2161_16,24061,25505,24608,24608
XML100_3333_05,21573,23156,22305,22305
XML100_3353_14,23881,25362,24830,24720
XML100_2143_21,13292,13797,13596,13417
XML100_3166_25,9773,10465,9934,9888
XML100_2375_12,8469,8731,8586,8472
XML100_1231_15,16022,17293,16724,16532
XML100_1361_20,24508,25405,25291,25291
XML100_1215_22,11929,12162,12108,11985
XML100_1365_21,10309,11480,10649,10599
XML100_3172_04,33570,34717,34564,34564
XML100_1353_22,17425,19059,18711,18465
XML100_3246_21,6640,6960,6838,6834
XML100_1223_15,13679,14641,14285,13957
XML100_1152_21,19373,20619,19974,19974
XML100_1266_05,5380,6062,5455,5442
XML100_3353_04,17238,18097,17989,17924
XML100_2131_12,29982,31313,31268,30657
XML100_2146_03,8150,8189,8150,8150
XML100_1223_20,17539,19122,18158,18080
XML100_3335_21,13024,13528,13431,13431
XML100_2243_05,8812,10133,9139,9087
XML100_2255_09,6883,7542,7078,7078
XML100_2241_14,16538,17355,17262,17262
XML100_1373_22,14005,14808,14391,14391
XML100_2365_06,9758,10238,9985,9959
XML100_2153_09,13788,14565,14032,14032
XML100_1254_17,10235,10702,10344,10344
XML100_2156_26,7836,8082,8032,8026
XML100_1171_01,36782,36888,36888,36888
XML100_1122_26,18709,19984,19264,19264
XML100_2335_06,8085,8800,8207,8207
XML100_1332_15,25258,25873,25745,25745
XML100_3143_03,23570,24924,24127,24127
XML100_2351_05,22805,23805,23461,23461
XML100_2351_12,22039,22818,22817,22666
XML100_1345_26,9522,9919,9723,9573
XML100_2272_01,21446,21687,21634,21634
XML100_2124_26,10813,11931,10970,10970
XML100_3125_12,13484,14441,14304,14239
XML100_1314_03,10415,11342,10608,10608
XML100_1351_07,24652,25831,25751,25604
XML100_3352_17,28883,30921,30448,30448
XML100_1176_19,8522,8854,8545,8535
XML100_3221_14,43292,43873,43873,43873
XML100_1372_17,18411,19755,18895,18885
XML100_3172_05,28403,30374,29311,29282
XML100_2355_05,9737,10388,10064,10008
XML100_2155_01,10102,10117,10116,10108
XML100_2221_06,20623,21797,21674,21595
XML100_2163_24,12757,13777,13411,13152
XML100_3124_17,15127,15685,15286,15213
XML100_3264_21,13436,13784,13552,13534
XML100_2346_25,7682,7974,7902,7681
XML100_1213_16,12042,12639,12537,12457
XML100_2272_18,14775,15095,14853,14853
XML100_2162_04,15190,15454,15439,15439
XML100_2176_07,8072,8436,8134,8124
XML100_2164_22,11611,12451,12119,11952
XML100_3112_15,25532,26092,25859,25667
XML100_2143_05,11398,12314,11891,11750
XML100_2124_09,10588,10950,10876,10836
XML100_3231_15,56735,59082,59038,58110
XML100_1334_21,12727,13298,13041,13041
XML100_2363_24,12419,13054,12727,12612
XML100_3214_02,17810,18090,18083,17949
XML100_3235_12,11112,11460,11225,11225
XML100_3215_04,13525,14559,13912,13912
XML100_2116_23,8047,8622,8355,8355
XML100_1366_12,7910,8295,8043,8043
XML100_2362_03,17571,18867,18084,18084
XML100_3254_14,17188,18117,17666,17530
XML100_1123_03,17521,19150,18107,18107
XML100_1121_19,31792,32905,32568,32568
XML100_2314_26,9661,10124,9660,9660
XML100_1156_20,8345,8585,8376,8376
XML100_1113_24,19205,20392,20010,19967
XML100_3121_06,40504,43060,41834,41644
XML100_2213_13,11889,12270,12142,12093
XML100_3321_20,49410,51685,51383,51383
XML100_3314_12,14955,15731,15440,15304
XML100_2131_11,28209,29127,29090,29087
XML100_1172_14,16775,18119,17134,17134
XML100_1135_25,8938,9267,9175,9175
XML100_1221_04,22327,23441,23019,23019
XML100_2114_04,10523,11222,10557,10546
XML100_1356_07,7763,8008,7826,7826
XML100_3314_18,15055,16312,15420,15168
XML100_1266_20,7007,7160,7014,7014
XML100_3115_16,12430,13265,12771,12695
XML100_2262_23,13331,14123,13913,13913
XML100_2336_20,7866,8077,7985,7891
XML100_3265_01,13091,13262,13261,13261
XML100_2262_08,15845,17163,16139,16139
XML100_3253_18,13414,14647,14169,14140
XML100_1342_14,14922,15707,15363,15326
XML100_3352_13,31813,33276,32804,32804
XML100_2323_22,11352,12451,11490,11490
XML100_1275_13,8749,9892,9139,9139
XML100_1151_24,33163,34325,34252,33989
XML100_2164_14,10525,11651,10901,10561
XML100_1361_19,24091,25714,24863,24863
XML100_3365_15,12468,13071,12945,12865
XML100_2211_06,22821,22968,22862,22862
XML100_3353_05,25296,26018,25817,25817
XML100_3274_17,11608,11967,11781,11759
XML100_2333_15,12293,12968,12704,12559
XML100_3355_22,13202,14480,13575,13575
XML100_2252_21,15959,17421,16722,16722
XML100_2321_19,25763,27052,26570,26440
XML100_3265_05,8477,8846,8666,8647
XML100_3152_08,27113,29471,28301,27936
XML100_3264_23,13115,13391,13374,13374
XML100_1335_11,9342,10253,9435,9427
XML100_2241_02,28292,29507,29314,29314
XML100_2212_09,18182,18603,18493,18331
XML100_1215_13,10239,10373,10314,10314
XML100_1114_24,14047,14719,14364,14336
XML100_3233_16,18852,19705,19446,19265
XML100_3313_12,21802,22279,21984,21984
XML100_2264_04,8243,8584,8518,8392
XML100_1355_18,8921,9342,8939,8939
XML100_2214_21,11461,11561,11535,11481
XML100_2326_25,7842,8017,7862,7854
XML100_2265_20,7431,7431,7431,7431
XML100_1265_21,8807,9308,8917,8917
XML100_2114_03,11012,11475,11119,11101
XML100_1232_03,16931,17894,17496,17183
XML100_1111_27,34946,35473,35330,35330
XML100_2212_08,13639,14500,13827,13827
XML100_2344_20,9729,10423,9976,9927
XML100_2313_11,12526,12868,12785,12673
XML100_1161_19,36304,38836,37753,36989
XML100_2324_02,10904,11579,11216,11032
XML100_1275_15,8662,8954,8670,8670
XML100_1143_17,16032,17082,16396,16396
XML100_3141_11,46320,47784,47503,47481
XML100_2134_06,10740,11559,11090,10784
XML100_1142_01,17732,19803,19042,18449
XML100_3372_17,25379,26847,25832,25832
XML100_1246_25,5263,5561,5437,5437
XML100_3221_12,45094,46349,45588,45588
XML100_1346_19,8441,9181,8800,8631
XML100_3355_26,11820,12082,11865,11863
XML100_1215_19,7802,7913,7877,7877
XML100_3252_11,24365,24905,24839,24813
XML100_3323_25,20182,21864,20950,20922
XML100_2333_09,11684,12459,12235,11943
XML100_3226_03,6075,6450,6202,6202
XML100_1353_06,12620,13346,12909,12731
XML100_3252_01,25549,27399,27331,26769
XML100_1275_16,10454,10719,10647,10647
XML100_2224_07,8826,9657,8929,8861
XML100_2126_03,7980,8113,8074,7980
XML100_2165_18,9780,10393,9965,9917
XML100_3212_06,32199,32521,32483,32483
XML100_3371_06,54554,54666,54666,54666
XML100_2123_27,11810,12393,11900,11900
XML100_2363_23,14015,16149,15120,14833
XML100_2223_11,8364,9340,8479,8422
XML100_3366_16,9534,10314,9673,9655
XML100_3264_03,11714,12010,11849,11825
XML100_1252_09,15488,16337,16059,16059
XML100_1361_14,35824,37637,37102,37045
XML100_3261_11,63967,66694,65885,65345
XML100_2132_23,17146,18462,18073,18039
XML100_3113_16,20849,21431,21129,21122
XML100_2122_03,18813,19807,19495,19495
XML100_1323_10,16951,18800,17749,17367
XML100_1174_01,12448,13717,13088,12579
XML100_2366_22,8741,9091,8867,8837
XML100_2113_27,13796,15074,14389,14383
XML100_3343_15,19399,20991,20030,20030
XML100_1133_11,13292,14093,13854,13513
XML100_1163_19,16822,18246,17518,17159
XML100_3361_03,41444,42655,42488,42380
XML100_3124_11,14321,15456,14843,14618
XML100_3276_08,8469,8640,8555,8521
XML100_2271_17,28176,28571,28536,28527
XML100_3254_15,16129,17269,16757,16677
XML100_2262_22,14971,15494,15440,15269
XML100_2144_12,11543,12200,11673,11673
XML100_1112_16,18978,20191,19270,19252
XML100_1261_17,39276,40539,39626,39626
XML100_1212_08,20912,21812,21611,21611
XML100_1232_06,24896,26444,25970,25970
XML100_3266_25,7276,7465,7465,7465
XML100_3356_10,10216,10574,10217,10217
XML100_2146_17,8320,8656,8437,8353
XML100_2123_02,12822,14032,13245,13033
XML100_1166_18,8209,8882,8702,8407
XML100_3232_11,32023,32759,32603,32603
XML100_1272_26,19155,19355,19341,19341
XML100_1156_13,8456,8776,8630,8517
XML100_1274_16,12320,12761,12576,12576
XML100_1365_09,10420,11314,10853,10853
XML100_2254_04,8388,9234,8734,8634
XML100_3231_04,33239,34833,34516,33839
XML100_2151_13,26440,27902,26889,26889
XML100_2263_07,9912,11099,10132,10132
XML100_1345_09,11108,12002,11399,11364
XML100_2375_14,9656,10433,10244,10221
XML100_1253_06,16838,17088,16920,16888
XML100_1225_25,6061,6738,6188,6175
XML100_2212_15,12888,13279,13133,13133
XML100_2362_18,14768,16425,15583,15533
XML100_1223_27,17717,18288,18239,18239
XML100_1313_13,21297,21954,21764,21764
XML100_1332_01,22172,23239,22838,22838
XML100_3251_07,34756,36387,35333,35333
XML100_2112_11,19612,20064,19898,19898
XML100_3265_20,9427,9822,9506,9493
XML100_2311_17,22044,22562,22269,22191
XML100_3153_20,20566,21264,21264,21186
XML100_3114_18,16515,18164,16925,16925
XML100_2263_08,9295,9940,9567,9451
XML100_2222_09,9484,10330,9849,9828
XML100_2171_24,25947,26289,26036,26024
XML100_1374_24,10389,11613,10801,10445
XML100_1366_23,7522,7663,7566,7540
XML100_2214_12,8578,9098,8851,8829
XML100_2156_16,8306,9078,8504,8463
XML100_2322_22,14906,15699,15157,15157
XML100_2376_03,7763,8809,7807,7795
XML100_3354_20,16702,18453,17789,17498
XML100_3112_12,31176,32028,31546,31479
XML100_2366_06,7740,8113,7748,7745
XML100_2163_13,11879,12450,12254,12194
XML100_1274_24,13798,15921,14151,14110
XML100_3372_14,31356,34061,31660,31660
XML100_1316_25,7738,8136,7825,7739
XML100_1245_18,11210,11365,11289,11289
XML100_2271_06,19934,20589,20252,20252
XML100_1173_10,14049,16717,14559,14559
XML100_3223_10,18076,18480,18437,18301
XML100_2345_05,9838,10507,10404,9981
XML100_3162_08,27428,28154,27980,27980
XML100_2346_14,7736,8093,7981,7981
XML100_1154_10,11676,12822,11994,11945
XML100_3245_13,13831,13881,13880,13880
XML100_2276_09,5350,5541,5495,5437
XML100_3142_09,29448,31770,30704,30704
XML100_3146_25,9314,9556,9475,9475
XML100_2373_23,14423,15773,14562,14562
XML100_3315_02,11076,11919,11393,11352
XML100_3345_14,11057,11622,11276,11188
XML100_2373_17,14024,15059,14446,14362
XML100_2116_16,8288,9607,8288,8288
XML100_1261_09,17067,18530,17784,17784
XML100_3215_05,9581,10099,9614,9614
XML100_1224_19,12407,13065,12684,12684
XML100_2266_22,5013,5319,5116,5079
XML100_1263_04,11621,11950,11870,11838
XML100_1353_16,12651,14079,13739,13713
XML100_2244_16,7651,7917,7738,7738
XML100_2161_21,20989,22286,21682,21395
XML100_1131_13,29002,30083,29955,29955
XML100_1324_06,10202,10535,10277,10258
XML100_1141_11,25961,28674,27295,26989
XML100_2322_06,18179,21196,18885,18672
XML100_3111_18,55376,56201,56122,55991
XML100_1253_17,17289,17742,17484,17463
XML100_3136_03,9356,9967,9515,9515
XML100_3374_04,14676,15278,15202,15202
XML100_1166_15,9154,9343,9287,9287
XML100_1352_05,14667,15370,15370,15338
XML100_1164_02,13447,14091,13912,13912
XML100_1361_07,54102,58215,57233,55438
XML100_3356_23,9376,9640,9425,9425
XML100_2146_19,8268,8932,8268,8268
XML100_2361_18,25288,28255,26036,25928
XML100_1243_12,15111,15531,15477,15407
XML100_3165_17,14069,14707,14371,14371
XML100_3125_19,14311,15534,14628,14517
XML100_3121_10,49100,51170,50606,50606
XML100_1313_05,18519,19129,18840,18840
XML100_2251_22,13569,14106,14011,13959
XML100_3341_11,43621,46991,45338,45338
XML100_2235_20,7437,8248,7898,7898
XML100_3246_26,8734,9186,8744,8744
XML100_2376_09,7680,8104,7739,7680
XML100_3315_23,12135,13187,12393,12393
XML100_3352_07,24592,24856,24847,24847
XML100_1113_05,17424,18759,18073,17905
XML100_3376_09,10474,10959,10702,10690
XML100_3211_03,54862,55013,54954,54954
XML100_3254_20,15054,16014,15795,15440
XML100_3371_10,62234,62695,62641,62641
XML100_1266_15,9741,9951,9797,9797
XML100_2322_19,16808,19160,17509,17204
XML100_2242_04,12912,14455,13270,13270
XML100_1111_18,29027,29793,29692,29369
XML100_1325_10,8104,8648,8200,8200
XML100_3252_24,22000,22995,22588,22588
XML100_1165_14,12365,13167,12560,12560
XML100_2146_14,8415,9147,8552,8441
XML100_2264_07,8300,8594,8451,8451
XML100_1151_20,49447,51497,50408,50276
XML100_2156_05,8084,8742,8314,8287
XML100_3233_09,15263,16018,15459,15459
XML100_2271_04,25434,26211,26142,25498
XML100_3324_14,17310,18068,17638,17638
XML100_3116_03,9592,9961,9853,9695
XML100_1271_22,34752,35838,35802,35598
XML100_3133_05,21784,23249,23056,22839
XML100_3362_07,34219,35802,35153,35153
XML100_3213_16,16558,17290,17105,17105
XML100_2356_21,8346,8959,8607,8593
XML100_2212_06,13416,13563,13563,13563
XML100_1133_19,18208,19043,18726,18726
XML100_1223_19,16649,17852,17402,17302
XML100_1125_14,11598,12287,11853,11853
XML100_1341_26,31126,33067,32224,31970
XML100_2342_18,20280,21753,21657,20934
XML100_1241_22,37243,40541,39482,38426
XML100_2252_03,16656,16926,16921,16766
XML100_1256_23,7105,7522,7501,7213
XML100_2114_23,11535,11955,11677,11546
XML100_2361_19,25822,27701,27031,26876
XML100_2233_01,8876,9244,9119,8924
XML100_3341_15,59559,62085,61726,61708
XML100_2376_05,8394,8870,8402,8402
XML100_1135_21,9493,11061,9957,9957
XML100_3226_16,8139,8593,8226,8226
XML100_1334_20,12913,13785,13522,13203
XML100_1333_05,16962,18190,17728,17564
XML100_1363_14,12988,14533,13429,13462
XML100_2335_22,8382,8909,8518,8518
XML100_3321_01,42043,43804,43344,43344
XML100_3154_19,17082,18591,17815,17600
XML100_1324_10,10820,11558,11042,11042
XML100_1173_04,14021,16230,14302,14089
XML100_2112_20,19213,20055,19509,19509
XML100_1146_08,9119,9430,9357,9354
XML100_3166_10,9164,9546,9474,9399
XML100_1163_22,14901,16023,15869,15647
XML100_3334_09,18771,19861,19439,19439
XML100_1375_22,9567,10311,9731,9731
XML100_2152_10,17313,18306,17714,17680
XML100_1174_25,14104,15154,14548,14545
XML100_2372_23,17535,18802,18263,18247
XML100_2261_07,20454,21371,21139,21139
XML100_1231_25,24838,25551,25510,25510
XML100_1274_15,5790,6246,5999,5979
XML100_3144_08,15996,17182,16330,16123
XML100_2365_11,9965,10322,10048,10047
XML100_1266_21,8113,8588,8262,8262
XML100_3131_21,44726,46022,45800,45800
XML100_2175_06,9294,9568,9297,9292
XML100_3264_26,10596,11121,10734,10682
XML100_1151_22,23805,24368,24368,24368
XML100_1135_20,9611,10054,9654,9646
XML100_3245_15,11286,12038,11473,11473
XML100_2366_12,8011,8129,8072,8072
XML100_2123_14,13721,14147,14147,14083
XML100_1164_12,12172,13365,13055,12722
XML100_2121_10,20553,21510,21167,21164
XML100_1272_03,25021,25366,25366,25366
XML100_1331_07,30187,30941,30335,30335
XML100_1152_03,25017,25871,25702,25702
XML100_1263_18,20514,21586,20949,20944
XML100_1123_23,16135,17329,16705,16555
XML100_3133_01,18228,19199,18936,18932
XML100_1375_04,10184,11534,10814,10253
XML100_3254_04,14359,14871,14627,14627
XML100_3115_26,12324,13522,12778,12700
XML100_3234_23,12037,12662,12473,12322
XML100_1151_05,34500,36520,36119,36035
XML100_3145_01,13604,14665,13833,13833
XML100_1136_12,8298,9074,8767,8601
XML100_3346_07,8581,8904,8600,8600
XML100_1161_06,40031,42520,41347,40765
XML100_2261_20,25128,26515,25875,25773
XML100_2114_13,10982,11897,11471,11415
XML100_1313_06,14691,15210,14884,14851
XML100_3252_14,26781,27968,27868,27846
XML100_1365_23,9377,9717,9509,9509
XML100_2371_25,22062,22934,22345,22282
XML100_1252_26,17258,18576,18173,18146
XML100_2273_03,9684,10472,9827,9778
XML100_3361_05,48966,50920,50077,50046
XML100_1212_11,24853,25210,25104,25102
XML100_2361_26,20820,22096,21425,21262
XML100_1265_07,8776,9417,9255,9241
XML100_3231_19,38816,40597,40209,40150
XML100_1236_21,5253,5334,5334,5333
XML100_1264_17,11974,13380,12237,12237
XML100_1171_25,31759,32863,32106,32106
XML100_1125_23,10330,11355,10529,10529
XML100_2245_21,6616,7273,6809,6760
XML100_2135_26,9938,10623,10053,10004
XML100_3364_09,17487,18396,18041,17927
XML100_2311_11,31623,31785,31761,31755
XML100_2221_18,27043,27830,27561,27561
XML100_1124_21,10347,11210,10730,10726
XML100_3165_16,12638,13859,13092,13082
XML100_2274_25,7707,8483,7942,7942
XML100_2135_05,9127,9543,9521,9146
XML100_2254_02,8302,9151,8365,8353
XML100_1332_18,19436,21191,20691,20130
XML100_2136_01,8517,9052,8616,8616
XML100_3321_10,53280,55557,54260,54062
XML100_2211_02,15373,15709,15585,15585
XML100_3373_26,18907,21178,19584,19548
XML100_3161_16,40984,42445,41929,41929
XML100_1335_14,9745,10633,10446,10292
XML100_3126_13,9688,9756,9756,9756
XML100_2123_15,11453,12744,11464,11464
XML100_1213_10,19839,20153,20008,20008
XML100_1175_18,11072,11636,11636,11465
