Model,Train Init Temp,Train Steps,Train Dimension,Train Demand,Train Scheduler,Train Clustering
20250206_141623_eygjgypl,1,100,20,True,step,False
20250206_150001_n6l44leu,1000,1000,20,True,step,False
20250206_182443_zya1og52,100,100,20,True,step,True
20250206_190801_1jrf079s,100,1000,20,True,step,False
20250206_223451_9neq6qez,1,100,20,True,step,True
20250206_231814_02rhzhq0,100,1000,20,True,step,True
20250207_024450_jq69m3it,1,1000,20,True,step,True
20250207_060936_qnjbvo0y,1000,100,20,True,step,True
20250207_065220_nkd8dg2m,1000,1000,20,True,step,True
20250207_102054_ejn1phj6,1,1000,20,True,step,False
20250207_134559_wt1ereai,100,100,20,True,step,False
20250207_143018_59gmggwg,1000,100,20,True,step,False
20250207_151413_trxihx0n,1000,1000,20,True,step,False
20250207_184029_bs84k7k7,1000,100,20,True,step,True
20250207_192331_r1v3kg8n,1,1000,20,True,step,True
20250207_225020_go9fc3li,100,100,20,True,step,False
20250207_233340_jig1xlb2,100,1000,20,True,step,True
20250208_030038_9e6feeyk,1,1000,20,True,step,False
20250208_064847_pjss31nm,100,100,20,True,step,True
20250208_081301_abm741h2,1000,100,20,True,step,False
20250208_093222_6q7q98te,1,100,20,True,step,False
20250208_102415_7vzikcsk,100,1000,20,True,step,False
20250208_142351_b9klmzyv,1000,1000,20,True,step,True
20250208_184635_2oy6lz5k,1,100,20,True,step,True
20250217_151600_dlyli6v2,1,100,20,True,lam,True
