Model,Type,Train Init Temp,Train Steps,Train Dimension,Train Demand,Train Scheduler,Train Clustering,Dimension,Step,Scheduler,Clustering,Initial Temp,Initial Cost,Final Cost,Gain
/,OR_TOOLS 1 sec,/,/,/,/,/,/,20,/,/,True,/,11.153650283813477,4.783847808837891,6.369802474975586
20_100_cyclic_True_1,Baseline,/,/,/,/,/,/,20,100,cyclic,True,1,11.153650283813477,7.230233192443848,3.923417091369629
20_100_lam_True_1,Baseline,/,/,/,/,/,/,20,100,lam,True,1,11.153650283813477,6.960876941680908,4.192773342132568
20_100_step_True_1,Baseline,/,/,/,/,/,/,20,100,step,True,1,11.153650283813477,7.465898990631104,3.687751293182373
20_1000_cyclic_True_1,Baseline,/,/,/,/,/,/,20,1000,cyclic,True,1,11.153650283813477,5.599132061004639,5.554518222808838
20_1000_lam_True_1,Baseline,/,/,/,/,/,/,20,1000,lam,True,1,11.153650283813477,5.546072006225586,5.607578277587891
20_1000_step_True_1,Baseline,/,/,/,/,/,/,20,1000,step,True,1,11.153650283813477,6.031698703765869,5.121951580047607
20_4000_cyclic_True_1,Baseline,/,/,/,/,/,/,20,4000,cyclic,True,1,11.153650283813477,5.360483169555664,5.7931671142578125
20_4000_lam_True_1,Baseline,/,/,/,/,/,/,20,4000,lam,True,1,11.153650283813477,5.222833156585693,5.930817127227783
20_4000_step_True_1,Baseline,/,/,/,/,/,/,20,4000,step,True,1,11.153650283813477,5.459979057312012,5.693671226501465
20_100_cyclic_True_100,Baseline,/,/,/,/,/,/,20,100,cyclic,True,100,11.153650283813477,8.383057594299316,2.77059268951416
20_100_lam_True_100,Baseline,/,/,/,/,/,/,20,100,lam,True,100,11.153650283813477,7.671085357666016,3.482564926147461
20_100_step_True_100,Baseline,/,/,/,/,/,/,20,100,step,True,100,11.153650283813477,8.544781684875488,2.6088685989379883
20_1000_cyclic_True_100,Baseline,/,/,/,/,/,/,20,1000,cyclic,True,100,11.153650283813477,5.579019069671631,5.574631214141846
20_1000_lam_True_100,Baseline,/,/,/,/,/,/,20,1000,lam,True,100,11.153650283813477,5.914799213409424,5.238851070404053
20_1000_step_True_100,Baseline,/,/,/,/,/,/,20,1000,step,True,100,11.153650283813477,6.721941947937012,4.431708335876465
20_4000_cyclic_True_100,Baseline,/,/,/,/,/,/,20,4000,cyclic,True,100,11.153650283813477,5.318496227264404,5.835154056549072
20_4000_lam_True_100,Baseline,/,/,/,/,/,/,20,4000,lam,True,100,11.153650283813477,5.3213348388671875,5.832315444946289
20_4000_step_True_100,Baseline,/,/,/,/,/,/,20,4000,step,True,100,11.153650283813477,5.827313423156738,5.326336860656738
20_100_cyclic_True_1000,Baseline,/,/,/,/,/,/,20,100,cyclic,True,1000,11.153650283813477,8.51968765258789,2.633962631225586
20_100_lam_True_1000,Baseline,/,/,/,/,/,/,20,100,lam,True,1000,11.153650283813477,7.818925857543945,3.3347244262695312
20_100_step_True_1000,Baseline,/,/,/,/,/,/,20,100,step,True,1000,11.153650283813477,8.45985221862793,2.693798065185547
20_1000_cyclic_True_1000,Baseline,/,/,/,/,/,/,20,1000,cyclic,True,1000,11.153650283813477,5.641218185424805,5.512432098388672
20_1000_lam_True_1000,Baseline,/,/,/,/,/,/,20,1000,lam,True,1000,11.153650283813477,5.961202621459961,5.192447662353516
20_1000_step_True_1000,Baseline,/,/,/,/,/,/,20,1000,step,True,1000,11.153650283813477,6.794978141784668,4.358672142028809
20_4000_cyclic_True_1000,Baseline,/,/,/,/,/,/,20,4000,cyclic,True,1000,11.153650283813477,5.370482921600342,5.783167362213135
20_4000_lam_True_1000,Baseline,/,/,/,/,/,/,20,4000,lam,True,1000,11.153650283813477,5.52924919128418,5.624401092529297
20_4000_step_True_1000,Baseline,/,/,/,/,/,/,20,4000,step,True,1000,11.153650283813477,5.865921497344971,5.287728786468506
/,OR_TOOLS 1 sec,/,/,/,/,/,/,20,/,/,False,/,12.20058250427246,6.0114030838012695,6.189179420471191
20_100_cyclic_False_1,Baseline,/,/,/,/,/,/,20,100,cyclic,False,1,12.20058250427246,8.996720314025879,3.203862190246582
20_100_lam_False_1,Baseline,/,/,/,/,/,/,20,100,lam,False,1,12.20058250427246,8.70586109161377,3.4947214126586914
20_100_step_False_1,Baseline,/,/,/,/,/,/,20,100,step,False,1,12.20058250427246,9.220752716064451,2.979829788208008
20_1000_cyclic_False_1,Baseline,/,/,/,/,/,/,20,1000,cyclic,False,1,12.20058250427246,6.975500583648682,5.225081920623779
20_1000_lam_False_1,Baseline,/,/,/,/,/,/,20,1000,lam,False,1,12.20058250427246,6.9553608894348145,5.2452216148376465
20_1000_step_False_1,Baseline,/,/,/,/,/,/,20,1000,step,False,1,12.20058250427246,7.586094379425049,4.614488124847412
20_4000_cyclic_False_1,Baseline,/,/,/,/,/,/,20,4000,cyclic,False,1,12.20058250427246,6.818024158477783,5.382558345794678
20_4000_lam_False_1,Baseline,/,/,/,/,/,/,20,4000,lam,False,1,12.20058250427246,6.582241058349609,5.618341445922852
20_4000_step_False_1,Baseline,/,/,/,/,/,/,20,4000,step,False,1,12.20058250427246,6.885307788848877,5.315274715423584
20_100_cyclic_False_100,Baseline,/,/,/,/,/,/,20,100,cyclic,False,100,12.20058250427246,10.267064094543455,1.933518409729004
20_100_lam_False_100,Baseline,/,/,/,/,/,/,20,100,lam,False,100,12.20058250427246,9.417950630187988,2.7826318740844727
20_100_step_False_100,Baseline,/,/,/,/,/,/,20,100,step,False,100,12.20058250427246,10.214410781860352,1.9861717224121096
